,instance,nlat mean,nlat stdDev,fair mean,fair stdDev
0,"[False, True, False, False, nan, nan, nan, True]",0.940147983677247,0.05349517165616491,0.9750826376325944,0.02525701397401185
1,"[True, True, False, False, nan, nan, nan, True]",0.9263750665328082,0.07774101710653153,0.9681876266703886,0.037397930250302615
2,"[True, True, False, False, nan, nan, nan, True]",0.9389869728509117,0.052409194802428,0.9739245526930865,0.026100746129967073
3,"[True, True, False, False, nan, nan, nan, True]",0.9463089879821328,0.04605709726264111,0.9765031267614925,0.02343816309810245
4,"[False, True, False, True, nan, nan, nan, True]",0.9270294045700747,0.08250322713260781,0.9884467966416303,0.014549593629638083
5,"[True, True, False, True, nan, nan, nan, True]",0.9442688489661497,0.05276567325381667,0.9904909414403579,0.010366876243462081
6,"[False, True, True, True, nan, nan, nan, True]",0.6382338615024791,0.16365499886323884,0.9026956663412207,0.07528078917261076
7,"[True, True, True, False, nan, nan, nan, True]",0.602077561266282,0.2389693788641349,0.6499393515234047,0.3400924523290496
8,"[False, True, False, True, nan, nan, nan, True]",0.937689812744365,0.0626640376938813,0.9900688616668477,0.010605584725787164
9,"[True, True, False, False, nan, nan, nan, True]",0.9263750665328082,0.07774101710653153,0.9681876266703886,0.037397930250302615
10,"[True, False, True, True, nan, nan, nan, False]",0.6705141295404995,0.22603471366324096,0.006237376892172188,0.0072654458688139745
11,"[False, True, True, True, nan, nan, nan, True]",0.6452838199980119,0.1879474571471775,0.8977302049889284,0.08812691476099199
12,"[False, True, False, False, nan, nan, nan, True]",0.9688948725952822,0.032388956840418905,0.986521221259061,0.016831456757639907
13,"[False, True, False, False, nan, nan, nan, True]",0.9647821994388804,0.034688217160747076,0.9859182361294242,0.017001138145212775
14,"[True, False, False, True, nan, nan, nan, True]",0.9507076494834003,0.04335141544316271,0.9908733683473924,0.010255078662263386
15,"[True, True, False, True, nan, nan, nan, True]",0.9649669229984283,0.03396420427888039,0.9948504181469188,0.005467769417135424
16,"[False, True, False, True, nan, nan, nan, True]",0.937689812744365,0.0626640376938813,0.9900688616668477,0.010605584725787164
17,"[True, True, False, True, nan, nan, nan, True]",0.945633211556603,0.06599639184847968,0.9916141629219055,0.011848871441445584
18,"[False, True, False, False, nan, nan, nan, True]",0.940147983677247,0.05349517165616491,0.9750826376325944,0.02525701397401185
19,"[True, True, False, False, nan, nan, nan, True]",0.9389869728509117,0.052409194802428,0.9739245526930865,0.026100746129967073
20,"[True, True, False, True, nan, nan, nan, True]",0.9284445187624764,0.07946590624662458,0.9882233037668116,0.015221283051293812
21,"[False, True, False, True, nan, nan, nan, True]",0.937689812744365,0.0626640376938813,0.9900688616668477,0.010605584725787164
22,"[True, True, False, True, nan, nan, nan, True]",0.9284445187624764,0.07946590624662458,0.9882233037668116,0.015221283051293812
23,"[False, True, True, True, nan, nan, nan, False]",0.6382338615024791,0.16365499886323884,0.0022696315855307856,0.0018049800409946103
24,"[True, False, False, True, nan, nan, nan, True]",0.9507076494834003,0.04335141544316271,0.9908733683473924,0.010255078662263386
25,"[False, True, False, True, nan, nan, nan, True]",0.947557642179377,0.062706888222559,0.9908230339779573,0.01249050178539904
26,"[True, True, False, False, nan, nan, nan, True]",0.9389869728509117,0.052409194802428,0.9739245526930865,0.026100746129967073
27,"[False, True, False, True, nan, nan, nan, True]",0.937689812744365,0.0626640376938813,0.9900688616668477,0.010605584725787164
28,"[False, True, False, True, nan, nan, nan, True]",0.937689812744365,0.0626640376938813,0.9900688616668477,0.010605584725787164
29,"[False, True, True, False, nan, nan, nan, True]",0.6086378395557404,0.20269542076618005,0.6924206049126738,0.29366000015995364
30,"[False, True, False, False, nan, nan, nan, True]",0.9647821994388804,0.034688217160747076,0.9859182361294242,0.017001138145212775
31,"[True, True, False, False, nan, nan, nan, True]",0.9389869728509117,0.052409194802428,0.9739245526930865,0.026100746129967073
32,"[False, True, True, True, nan, nan, nan, True]",0.6651453121620066,0.18917266373606334,0.9122400932452258,0.07149166115384928
33,"[False, True, False, False, nan, nan, nan, True]",0.940147983677247,0.05349517165616491,0.9750826376325944,0.02525701397401185
34,"[False, True, False, True, nan, nan, nan, True]",0.937689812744365,0.0626640376938813,0.9900688616668477,0.010605584725787164
